TraningTrack1	 length = 405.0331
AddReward	2020/9/18 17:05:38	0
AddReward	2020/9/18 17:05:38	0.3920076
AddReward	2020/9/18 17:05:39	0.7836232
AddReward	2020/9/18 17:05:39	1.174847
AddReward	2020/9/18 17:05:39	1.378007
AddReward	2020/9/18 17:05:39	1.593397
AddReward	2020/9/18 17:05:39	0.4986005
AddReward	2020/9/18 17:05:39	0.7274186
AddReward	2020/9/18 17:05:39	0.9820226
AddReward	2020/9/18 17:05:39	1.113849
AddReward	2020/9/18 17:05:39	1.35319
AddReward	2020/9/18 17:05:39	1.490186
AddReward	2020/9/18 17:05:39	1.71314
AddReward	2020/9/18 17:05:39	1.874567
AddReward	2020/9/18 17:05:39	2.064095
AddReward	2020/9/18 17:05:39	2.270444
AddReward	2020/9/18 17:05:39	2.442881
AddReward	2020/9/18 17:05:39	2.638571
AddReward	2020/9/18 17:05:39	2.816778
AddReward	2020/9/18 17:05:39	3.007093
AddReward	2020/9/18 17:05:39	3.184073
AddReward	2020/9/18 17:05:39	3.362987
AddReward	2020/9/18 17:05:39	3.530193
AddReward	2020/9/18 17:05:39	3.705652
AddReward	2020/9/18 17:05:39	3.869437
AddReward	2020/9/18 17:05:39	4.040452
AddReward	2020/9/18 17:05:39	4.206262
AddReward	2020/9/18 17:05:39	4.378779
AddReward	2020/9/18 17:05:39	4.540808
AddReward	2020/9/18 17:05:39	4.708267
AddReward	2020/9/18 17:05:39	4.865909
AddReward	2020/9/18 17:05:39	5.016561
AddReward	2020/9/18 17:05:39	5.160646
AddReward	2020/9/18 17:05:39	5.308842
AddReward	2020/9/18 17:05:39	5.44845
AddReward	2020/9/18 17:05:39	5.592194
AddReward	2020/9/18 17:05:39	5.717023
AddReward	2020/9/18 17:05:39	5.847237
AddReward	2020/9/18 17:05:39	5.969144
AddReward	2020/9/18 17:05:39	6.094968
AddReward	2020/9/18 17:05:39	6.2133
AddReward	2020/9/18 17:05:39	6.311227
AddReward	2020/9/18 17:05:39	6.402462
AddReward	2020/9/18 17:05:39	6.49757
AddReward	2020/9/18 17:05:39	6.586142
AddReward	2020/9/18 17:05:39	6.67842
AddReward	2020/9/18 17:05:39	6.794271
AddReward	2020/9/18 17:05:39	6.913057
AddReward	2020/9/18 17:05:39	7.024707
AddReward	2020/9/18 17:05:39	7.13874
AddReward	2020/9/18 17:05:39	7.245779
AddReward	2020/9/18 17:05:39	7.332526
AddReward	2020/9/18 17:05:39	7.417557
AddReward	2020/9/18 17:05:39	7.503953
AddReward	2020/9/18 17:05:40	7.584699
AddReward	2020/9/18 17:05:40	7.669119
AddReward	2020/9/18 17:05:40	7.741325
AddReward	2020/9/18 17:05:40	7.818674
AddReward	2020/9/18 17:05:40	7.890468
AddReward	2020/9/18 17:05:40	7.964976
AddReward	2020/9/18 17:05:40	8.034054
AddReward	2020/9/18 17:05:40	8.123581
AddReward	2020/9/18 17:05:40	8.207088
AddReward	2020/9/18 17:05:40	8.292487
AddReward	2020/9/18 17:05:40	8.372004
AddReward	2020/9/18 17:05:40	8.453376
AddReward	2020/9/18 17:05:40	8.529119
AddReward	2020/9/18 17:05:40	8.60757
AddReward	2020/9/18 17:05:40	8.68038
AddReward	2020/9/18 17:05:40	8.754958
AddReward	2020/9/18 17:05:40	8.824039
AddReward	2020/9/18 17:05:40	8.894694
AddReward	2020/9/18 17:05:40	8.964481
AddReward	2020/9/18 17:05:40	9.034338
AddReward	2020/9/18 17:05:40	9.099207
