Circuit = TraningTrack1	length = 405.0331
AddReward	2020/9/18 17:42:35	0
AddReward	2020/9/18 17:42:35	0.3920076
AddReward	2020/9/18 17:42:35	0.7836232
AddReward	2020/9/18 17:42:35	1.174847
AddReward	2020/9/18 17:42:35	1.378007
AddReward	2020/9/18 17:42:35	1.593397
AddReward	2020/9/18 17:42:35	0.4986006
AddReward	2020/9/18 17:42:35	0.7274187
AddReward	2020/9/18 17:42:35	0.9820226
AddReward	2020/9/18 17:42:35	1.113849
AddReward	2020/9/18 17:42:35	1.35319
AddReward	2020/9/18 17:42:35	1.490186
AddReward	2020/9/18 17:42:35	1.71314
AddReward	2020/9/18 17:42:35	1.874567
AddReward	2020/9/18 17:42:35	2.064095
AddReward	2020/9/18 17:42:35	2.270444
AddReward	2020/9/18 17:42:35	2.442881
AddReward	2020/9/18 17:42:36	2.638571
AddReward	2020/9/18 17:42:36	2.816778
AddReward	2020/9/18 17:42:36	3.007092
AddReward	2020/9/18 17:42:36	3.184072
AddReward	2020/9/18 17:42:36	3.362985
AddReward	2020/9/18 17:42:36	3.53019
AddReward	2020/9/18 17:42:36	3.705649
AddReward	2020/9/18 17:42:36	3.869432
AddReward	2020/9/18 17:42:36	4.040447
AddReward	2020/9/18 17:42:36	4.206257
AddReward	2020/9/18 17:42:36	4.378774
AddReward	2020/9/18 17:42:36	4.540804
AddReward	2020/9/18 17:42:36	4.708263
AddReward	2020/9/18 17:42:36	4.865904
AddReward	2020/9/18 17:42:36	5.016556
AddReward	2020/9/18 17:42:36	5.16064
AddReward	2020/9/18 17:42:36	5.308834
AddReward	2020/9/18 17:42:36	5.448441
AddReward	2020/9/18 17:42:36	5.592183
AddReward	2020/9/18 17:42:36	5.717012
AddReward	2020/9/18 17:42:36	5.847225
AddReward	2020/9/18 17:42:36	5.969131
AddReward	2020/9/18 17:42:36	6.094954
AddReward	2020/9/18 17:42:36	6.213285
AddReward	2020/9/18 17:42:36	6.311211
AddReward	2020/9/18 17:42:36	6.402444
AddReward	2020/9/18 17:42:36	6.49755
AddReward	2020/9/18 17:42:36	6.58612
AddReward	2020/9/18 17:42:36	6.678397
AddReward	2020/9/18 17:42:36	6.794247
AddReward	2020/9/18 17:42:36	6.913032
AddReward	2020/9/18 17:42:36	7.024681
AddReward	2020/9/18 17:42:36	7.138712
AddReward	2020/9/18 17:42:36	7.245749
AddReward	2020/9/18 17:42:36	7.332495
AddReward	2020/9/18 17:42:36	7.417524
AddReward	2020/9/18 17:42:36	7.503918
AddReward	2020/9/18 17:42:36	7.584662
AddReward	2020/9/18 17:42:36	7.669081
AddReward	2020/9/18 17:42:36	7.741283
AddReward	2020/9/18 17:42:36	7.818628
AddReward	2020/9/18 17:42:36	7.89042
AddReward	2020/9/18 17:42:36	7.964925
AddReward	2020/9/18 17:42:36	8.034
AddReward	2020/9/18 17:42:36	8.123524
AddReward	2020/9/18 17:42:36	8.207027
AddReward	2020/9/18 17:42:36	8.292422
AddReward	2020/9/18 17:42:36	8.371936
AddReward	2020/9/18 17:42:36	8.453305
AddReward	2020/9/18 17:42:36	8.529053
